Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_STATE,Geo_COUNTY,Geo_TRACT,SE_A03001B_001,SE_A03001B_002,SE_A03001B_003,SE_A03001B_004,SE_A03001B_005,SE_A03001B_006,SE_A03001B_007,SE_A03001B_008,SE_A03001B_009,SE_A03001B_010,SE_A14016_001,SE_B18002_001,SE_B18002_002,SE_B18002_003,SE_B13004_001,SE_B13004_002,SE_B13004_003,SE_B13004_004,SE_B13004_005
06037700300,14000US06037700300,Census Tract 7003,"Census Tract 7003, Los Angeles County, California",ca,140,0,ACSSF,5977,06,037,700300,3027,2511,52,16,73,0,197,178,2456,268,79308,3027,540,651,6461,757,699,1456,5005
06037700400,14000US06037700400,Census Tract 7004,"Census Tract 7004, Los Angeles County, California",ca,140,0,ACSSF,5978,06,037,700400,2386,1946,33,0,107,0,109,191,1898,184,78125,2386,695,437,5529,577,555,1132,4397
06037700501,14000US06037700501,Census Tract 7005.01,"Census Tract 7005.01, Los Angeles County, California",ca,140,0,ACSSF,5979,06,037,700501,1505,1082,85,0,131,49,24,134,942,229,69129,1505,244,348,3567,249,463,712,2855
06037700502,14000US06037700502,Census Tract 7005.02,"Census Tract 7005.02, Los Angeles County, California",ca,140,0,ACSSF,5980,06,037,700502,1978,1684,0,0,116,0,111,67,1585,244,67950,1978,353,542,4174,531,355,886,3288
06037700600,14000US06037700600,Census Tract 7006,"Census Tract 7006, Los Angeles County, California",ca,140,0,ACSSF,5981,06,037,700600,170,159,0,0,11,0,0,0,159,0,113750,170,34,35,5198,425,471,896,4302
06037700700,14000US06037700700,Census Tract 7007,"Census Tract 7007, Los Angeles County, California",ca,140,0,ACSSF,5982,06,037,700700,79,79,0,0,0,0,0,0,68,11,,79,10,0,3537,85,118,203,3334
06037700801,14000US06037700801,Census Tract 7008.01,"Census Tract 7008.01, Los Angeles County, California",ca,140,0,ACSSF,5983,06,037,700801,1786,1451,52,0,185,0,62,36,1295,189,85405,1786,313,567,4924,623,587,1210,3714
06037700802,14000US06037700802,Census Tract 7008.02,"Census Tract 7008.02, Los Angeles County, California",ca,140,0,ACSSF,5984,06,037,700802,1562,1200,71,0,187,0,66,38,1106,160,63029,1562,245,577,4066,467,554,1021,3045
06037700901,14000US06037700901,Census Tract 7009.01,"Census Tract 7009.01, Los Angeles County, California",ca,140,0,ACSSF,5985,06,037,700901,845,674,31,0,108,0,8,24,571,111,62943,845,310,210,3495,290,118,408,3087
06037700902,14000US06037700902,Census Tract 7009.02,"Census Tract 7009.02, Los Angeles County, California",ca,140,0,ACSSF,5986,06,037,700902,2736,2290,83,0,224,0,77,62,2144,231,76346,2736,588,768,7519,969,636,1605,5914
